"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"63","2013-09-16 12:28:06","7","en","","Italy","Female","32","Year 3","Yes","No","Yes","No","No","","Psychodynamic and Bionomic Psychotherapy","Yes","Yes","Yes","Yes","Yes","Yes","No","body-oriented psycotherapy","in my opinion, psycothetapy is essential for a good therapeutic relationship, that is primary for a better welfare of the patients.","Yes","Yes","Yes","Yes","Yes","","psychodynamic psychotherapy, cognitive behaviuoral therapy","5","3","1","0","0","","State / 3rd party pays","I pay","I pay","I don't have it","State / 3rd party pays","I pay","Yes","33","Agree","Neutral","Strongly Disagree","","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"64","","6","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=cjx7fswyaftddhr","Italy","Female","33","Year 2","Yes","No","Yes","No","No","","Cognitive Behavioural Therapy","Yes","Yes","No","No","No","No","No","Bioenergetic psycotherapy","","Yes","Uncertain","Uncertain","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","0","8","4","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","3000","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"65","2013-09-19 15:47:10","7","en","","Italy","Female","28","Year 4","No","Yes","No","No","No","",", Cognitive Behavioural Therapy","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Gestalt Therapy, Group Psychotherapy, Therapeutic Community","0","0","0","0","0","","State / 3rd party pays","I pay","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Agree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"66","2013-09-19 19:44:08","7","en","","Italy","Female","37","I have recently finished training (within last 5 years)","Yes","Yes","No","No","No","","Psychodynamic psychotherapy","No","No","No","No","No","No","Yes","","","Yes","Yes","No","No","Yes","","Psychodynamic psychotherapy","0","2","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","No","0","Strongly Disagree","Agree","Neutral","","","","","","","","","","","","","","","","","","","","In my country psychiatrists give too much importance to psychotherapy. We are not enough trained in clinical psychiatry. For this reason our patients go to neurologists to have diagnosis and therapies"
"67","2013-09-20 10:32:18","7","en","","Italy","Female","30","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","No","Uncertain","Uncertain","No","Unsure","","Cognitive Behavioural Therapy","4","3","2","6","2","","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","20","Neutral","Neutral","Neutral","","Yes","","","","","","","","","","","","","","","","","",""
"68","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"69","2013-09-20 15:41:13","7","en","","Italy","Male","29","Year 2","Yes","No","Yes","No","No","","Psychoanalitic  psychoterapy","Yes","Yes","Yes","No","No","No","No","Therapeutic community","Psychoterapy training js essential for a trainee, whatever theory it comes from. I think that a good psychiatrist should be able to use both pharmaceutical and talking care, because every patient need all the good ways to improve his/her mental health. The big problem is that many italian psychiatry recidencies don't have interest and/or money enough to provide this kind or training, and we are supposed to look outside, in private context, for a good training, if we desire for it. This is tough because we need to work a lot and to find out extra work as general doctors to get needed money.","No","No","No","No","Yes","","Family treatment 
Cognitive psychoterapy
Psychodinamic p.","0","0","5","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I don't have it","Yes","30","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Thank you for this oportunity ti give my personal view in anonimous way. I hope that something could really change for most of italian trainees Who desire to join a psychoterapeutic training but don't have in their residency and should miss it for economic reasons."
"70","2013-09-20 17:56:44","7","en","","Italy","Female","27","Year 2","Yes","No","Yes","No","No","","Psicoterapia cognitiva post razionalista","Yes","Yes","No","Yes","No","No","No","","","Yes","No","Yes","No","Yes","","Psicodinamica.  Cognitivo-comportamentale","0","0","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","40","Strongly Disagree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"71","2013-10-04 14:11:00","7","en","","Italy","Female","30","Year 3","Yes","Yes","No","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Group Psychotherapy","1","4","4","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","30","Agree","Agree","Agree","","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","No","No","No","No","No","No","No","No",""
"72","2013-10-10 13:16:52","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=zcp6r7nwqma3mqe","Italy","Female","29","Year 3","No","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","Yes","Yes","Yes","No","Yes","","Interpersonal Psychotherapy","0","4","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","Yes","20","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
