"","q_0009_SQ2","q_0009_SQ3","q_0009_SQ4","q_0009_Ax","q_0009_other","q_0010"
"288","Yes","Yes","Not selected","Not selected",NA,NA
"289","Yes","Not selected","Not selected","Not selected",NA,NA
"290","Not selected","Not selected","Not selected","Not selected",NA,NA
"291","Yes","Not selected","Not selected","Not selected",NA,NA
"292","Not selected","Not selected","Not selected","Not selected",NA,"Very important qualification for psychiatrist"
"293","Yes","Not selected","Not selected","Not selected","Cognitive analytic therapy",NA
"294","Not selected","Not selected","Not selected","Not selected","schema",NA
"295","Not selected","Not selected","Not selected","Not selected",NA,NA
"296","Yes","Yes","Not selected","Not selected",NA,NA
"297","Yes","Not selected","Yes","Not selected",NA,"Psychotherapy is of such great importance as is medical therapy.It is a shame that in Greece it's just optional for a psychiatrist's training."
"298","Yes","Not selected","Not selected","Not selected",NA,NA
"299","Not selected","Not selected","Not selected","Not selected",NA,NA
"300","Yes","Not selected","Not selected","Not selected",NA,NA
"301","Yes","Yes","Not selected","Not selected",NA,"It's important ,it realy healpful to understand my patients better ,the psychopathology etc.and I understand my reactions the way am thinking and acting."
"302","Yes","Not selected","Not selected","Not selected",NA,NA
"303","Not selected","Not selected","Not selected","Not selected","Systemic Psychotherspy",NA
"304","Not selected","Not selected","Not selected","Not selected",NA,NA
"305","Yes","Not selected","Yes","Not selected",NA,NA
"306","Yes","Yes","Not selected","Not selected",NA,"I find psychotherapy extremely essential,it has already helped me great in the way I am treating my patients.I believe that a good psychiatrist should undertake any kind of psychotherapy in order to help his/her patients."
"307","Not selected","Not selected","Not selected","Not selected",NA,NA
"308","Not selected","Yes","Not selected","Not selected","Existential",NA
"309","Not selected","Not selected","Not selected","Not selected",NA,NA
"310","Yes","Not selected","Not selected","Not selected",NA,"Psychiatry cannot be fully defined if psychotherapies are outruled. Moreover psychoanalysis  carry the very foundations of psychiatry.   Psychodynamic oriented psychotherapies provide a way to a deeper understanding of our patients and their profound change regarding patterns of beliefs,emotions and relations.   Cognitive therapies are better applicable and tolerated offering immediate therapeutic results."
"311","Yes","Not selected","Not selected","Not selected",NA,NA
"312","Yes","Yes","Not selected","Not selected",NA,"I believe that it would be very helpful and should be obligatory for the trainees to receive personal psychotherapy during the training period. Since it is very expensive and many trainees cannot afford it, it should be in a symbolic price."
"313","Not selected","Yes","Not selected","Not selected",NA,"Family Therapy is very important for me as a Childpsychiatris because i always have to work with parents also. A child can be seen only within the system that he lives in. Psychodynamic Psychotherapy is the basis of psychotherapy therefore i think a basic knowlege is essential.  I also think that a Psychiatrist or Childpsychiatris must have done psyhotherapie on his self."
"314","Yes","Yes","Not selected","Not selected",NA,NA
"315","Yes","Not selected","Not selected","Not selected",NA,"The psychotherapy training in our country doesn't exist. You must pay private lessons lots of money. Our training in psychiatry is for laughing, and its so humiliating for us to wait so many year for our training. It's ironic to ask of us to complete this questionnaire from the moment that we have no jobb, no chance to feel that we are doctors and psychiatrists."
"316","Not selected","Not selected","Not selected","Not selected",NA,NA
"317","Yes","Not selected","Yes","Not selected",NA,NA
"318","Yes","Not selected","Not selected","Not selected",NA,NA
"319","Not selected","Yes","Not selected","Not selected",NA,NA
"320","Not selected","Yes","Not selected","Not selected",NA,NA
"321","Not selected","Yes","Not selected","Not selected",NA,NA
"322","Not selected","Yes","Not selected","Not selected","existential psychotherapy","In Greece the hospitals where you are trained to become a psychiatrist don't offer any substantial psychotherapeutic programs... Such programs are only offered by private foundations and the tuition fees are a lot..."
"323","Not selected","Not selected","Not selected","Not selected",NA,NA
"324","Not selected","Yes","Not selected","Not selected",NA,NA
"325","Not selected","Yes","Not selected","Not selected",NA,"I want to specialize in child and adolescence psychiatry"
"326","Yes","Yes","Yes","Not selected",NA,NA
"327","Yes","Not selected","Not selected","Not selected",NA,"I think psycotherapy training is important, though it is not necessary to be limited within the specialty."
"328","Yes","Yes","Not selected","Not selected",NA,NA
"329","Yes","Not selected","Not selected","Not selected","Cognitive Analytic Therapy",NA
"330","Not selected","Not selected","Not selected","Not selected",NA,NA
"331","Not selected","Not selected","Not selected","Not selected",NA,NA
"332","Yes","Not selected","Not selected","Not selected",NA,NA
"333","Yes","Yes","Yes","Not selected",NA,NA
"334","Not selected","Not selected","Not selected","Not selected",NA,NA
"335","Yes","Not selected","Yes","Not selected",NA,NA
"336","Not selected","Yes","Not selected","Not selected",NA,"i like the field of psychotherapy, my problem is moral. do we know enoug? are we trained enough to do that? compared to psychologists who spend years of training."
"337","Yes","Not selected","Not selected","Not selected",NA,NA
"338","Yes","Not selected","Not selected","Not selected",NA,"i believe psychotherapy training is important even if i dont practice it in day to day basis in my clinic"
"339","Yes","Not selected","Not selected","Not selected",NA,NA
"340","Yes","Not selected","Yes","Not selected","hypnosis, mindfulness","I believe psychotherapy is crucial to my training in psychiatry and I'm trying to learn and experience during my residency in psychiatry as many modalities in psychotherapy as possible."
"341","Yes","Not selected","Not selected","Not selected",NA,NA
"342","Yes","Not selected","Not selected","Not selected","IPT",NA
"343","Yes","Not selected","Yes","Not selected",NA,NA
"344","Yes","Yes","Yes","Not selected",NA,NA
"345","Not selected","Yes","Yes","Not selected","DBT",NA
"346","Not selected","Not selected","Not selected","Yes",NA,"Psychodynamic psychotherapy"
"347","Not selected","Not selected","Not selected","Not selected",NA,NA
"348","Not selected","Not selected","Not selected","Not selected",NA,NA
"349","Not selected","Not selected","Not selected","Not selected",NA,NA
"350","Yes","Not selected","Not selected","Not selected",NA,NA
"351","Not selected","Not selected","Not selected","Not selected",NA,NA
"352","Yes","Not selected","Not selected","Not selected",NA,NA
"353","Not selected","Not selected","Not selected","Not selected",NA,"Important to be familiar with the concepts, the conceptualizations of psychopathology, processes that occur in the therapeutic relationship.relevant to keep in mind not only in psychotherapeutic work."
"354","Not selected","Yes","Yes","Not selected","play therpy",NA
"355","Yes","Not selected","Not selected","Not selected",NA,NA
"356","Yes","Not selected","Not selected","Not selected","Mindfulness",NA
"357","Yes","Not selected","Not selected","Not selected",NA,NA
"358","Not selected","Yes","Not selected","Not selected",NA,NA
"359","Not selected","Not selected","Not selected","Not selected",NA,NA
"360","Not selected","Not selected","Not selected","Not selected",NA,NA
"361","Not selected","Not selected","Not selected","Not selected",NA,NA
"362","Not selected","Not selected","Not selected","Not selected",NA,NA
"363","Not selected","Not selected","Not selected","Not selected",NA,NA
"364","Not selected","Not selected","Not selected","Not selected",NA,NA
"365","Not selected","Not selected","Yes","Not selected",NA,NA
"366","Not selected","Not selected","Not selected","Not selected",NA,NA
"367","Yes","Not selected","Not selected","Not selected",NA,NA
"368","Not selected","Not selected","Not selected","Not selected",NA,NA
"369","Yes","Not selected","Not selected","Not selected",NA,NA
"370","Yes","Not selected","Not selected","Not selected",NA,NA
"371","Yes","Not selected","Yes","Not selected",NA,"in all these fields including subtype of CBT, meanning PE I am using in my training"
"372","Yes","Yes","Not selected","Not selected",NA,NA
"373","Yes","Yes","Not selected","Not selected",NA,NA
"374","Yes","Yes","Yes","Not selected",NA,NA
"375","Yes","Not selected","Not selected","Not selected",NA,NA
"376","Not selected","Not selected","Not selected","Not selected",NA,NA
"377","Not selected","Not selected","Not selected","Not selected",NA,NA
"378","Not selected","Not selected","Not selected","Not selected",NA,NA
"379","Yes","Not selected","Not selected","Not selected",NA,NA
"380","Yes","Not selected","Not selected","Not selected",NA,NA
"381","Not selected","Not selected","Not selected","Not selected",NA,NA
"382","Not selected","Not selected","Yes","Not selected",NA,NA
"383","Not selected","Not selected","Not selected","Not selected",NA,"I think that psychotherapy is a fundamental part of psychiatry because it allows a deeper understanding of our pts and their suffering. I think psychopharmachology helps a lot but it is just a symptomatic treatment which does not allow any psychic transformation, thus any real chance to heal or at least to reach a better inner adjustment."
"384","Not selected","Not selected","Not selected","Not selected",NA,NA
"385","Yes","Yes","Not selected","Not selected",NA,NA
"386","Yes","Not selected","Not selected","Not selected",NA,NA
"387","Not selected","Not selected","Not selected","Not selected",NA,NA
"388","Not selected","Yes","Not selected","Not selected",NA,NA
"389","Not selected","Not selected","Not selected","Not selected",NA,NA
"390","Not selected","Not selected","Not selected","Not selected","Existential Psychotherapy",NA
"391","Yes","Not selected","Not selected","Not selected",NA,NA
"392","Yes","Not selected","Yes","Not selected",NA,NA
"393","Yes","Yes","Not selected","Not selected",NA,NA
"394","Yes","Yes","Yes","Not selected",NA,"I just don't know which kind of psychotherapy I will choose in my future career because I'm just starting the first year. But anyway I strongly believe that psychiatry and psychotherapy must be integrated in the most part of cases."
"395","Yes","Not selected","Not selected","Not selected",NA,NA
"396","Not selected","Not selected","Not selected","Not selected",NA,NA
"397","Yes","Yes","Not selected","Not selected",NA,NA
"398","Yes","Not selected","Yes","Not selected",NA,NA
"399","Not selected","Not selected","Not selected","Not selected",NA,NA
"400","Not selected","Not selected","Not selected","Not selected",NA,NA
"401","Yes","Not selected","Not selected","Not selected",NA,NA
"402","Yes","Not selected","Not selected","Not selected",NA,NA
"403","Yes","Yes","Not selected","Not selected",NA,NA
"404","Yes","Not selected","Not selected","Not selected",NA,NA
"405","Yes","Not selected","Not selected","Not selected",NA,NA
"406","Not selected","Yes","Yes","Not selected",NA,NA
"407","Yes","Not selected","Not selected","Not selected",NA,NA
"408","Not selected","Not selected","Not selected","Not selected","gestalt therapy","I think  could be important for the psychiatrist  undergoing a psychotherapy. I have some doubt about the necessity of psychotherapy in the daily clinical practice,  even if I'm interested in a phenomenological approach to the patient."
"409","Not selected","Not selected","Yes","Not selected",NA,NA
"410","Yes","Not selected","Not selected","Not selected",NA,NA
"411","Yes","Not selected","Not selected","Not selected",NA,NA
"412","Not selected","Not selected","Not selected","Not selected",NA,NA
"413","Yes","Not selected","Not selected","Not selected",NA,"nothing"
"414","Not selected","Not selected","Not selected","Not selected",NA,NA
"415","Not selected","Not selected","Not selected","Not selected",NA,NA
"416","Yes","Not selected","Not selected","Not selected",NA,NA
"417","Not selected","Not selected","Yes","Not selected",NA,"I think that psychotherapy and a psychodynamic approach is crucial in the formation and practice of a psychiatry and is the basis of a good therapeutic relation and often one a very important step in the therapeutic process"
"418","Not selected","Not selected","Not selected","Not selected",NA,NA
"419","Yes","Not selected","Not selected","Not selected",NA,NA
"420","Not selected","Not selected","Not selected","Not selected",NA,"The theoretical background in the field of psychotherapy within the speciality is incomplete."
"421","Not selected","Yes","Not selected","Not selected",NA,NA
"422","Yes","Not selected","Not selected","Not selected",NA,NA
"423","Not selected","Not selected","Not selected","Not selected",NA,NA
"424","Not selected","Not selected","Not selected","Not selected",NA,NA
"425","Not selected","Not selected","Not selected","Not selected",NA,NA
"426","Not selected","Not selected","Not selected","Not selected",NA,NA
"427","Not selected","Yes","Yes","Not selected",NA,"I think that training in psychodinamic psychotherapy is poor. We often guide an individual Psychodinamic psychotherapy and sometimes group psychotherapy. The moments of theoretical training are few. There are enough moments of supervision to grasp what are the mistakes made and reflect on therapeutic modalities more correct."
"428","Yes","Yes","Yes","Not selected","body-oriented psycotherapy","in my opinion, psycothetapy is essential for a good therapeutic relationship, that is primary for a better welfare of the patients."
"429","Not selected","Not selected","Not selected","Not selected","Bioenergetic psycotherapy",NA
"430","Yes","Not selected","Not selected","Not selected",NA,NA
"431","Not selected","Not selected","Not selected","Yes",NA,NA
"432","Yes","Not selected","Not selected","Not selected",NA,NA
"433","Not selected","Not selected","Not selected","Not selected",NA,NA
"434","Not selected","Not selected","Not selected","Not selected","Therapeutic community","Psychoterapy training js essential for a trainee, whatever theory it comes from. I think that a good psychiatrist should be able to use both pharmaceutical and talking care, because every patient need all the good ways to improve his/her mental health. The big problem is that many italian psychiatry recidencies don't have interest and/or money enough to provide this kind or training, and we are supposed to look outside, in private context, for a good training, if we desire for it. This is tough because we need to work a lot and to find out extra work as general doctors to get needed money."
"435","Yes","Not selected","Not selected","Not selected",NA,NA
"436","Not selected","Yes","Not selected","Not selected",NA,NA
"437","Not selected","Not selected","Not selected","Not selected",NA,NA
"438","Not selected","Not selected","Not selected","Yes",NA,NA
"439","Not selected","Not selected","Yes","Not selected","Hypnotherapy",NA
"440","Not selected","Not selected","Not selected","Not selected",NA,NA
"441","Not selected","Yes","Yes","Not selected",NA,"I regard psychotherapy to be an important part of my identity as a psychiatrist. Unfortunately in our country for several historical reasons there still is a chasm between psychiatry and psychotherapy (they are regarded two different specialties, with separate training programs, professional associations etc. Until recently the psychotherapy component of psychiatric training was very rudimentary).   My personal preferences in psychotherapy are more in-depth approaches, psychodynamic psychotherapy, phenomenologiacally informed psychotherapy, systemic approaches."
"442","Not selected","Not selected","Yes","Not selected",NA,"I am workin as psychotherapist (psychodinamic) and using my experience and knowledge in psychiatry in everyday work"
"443","Not selected","Not selected","Not selected","Not selected",NA,NA
"444","Yes","Yes","Not selected","Not selected",NA,NA
"445","Not selected","Not selected","Yes","Not selected",NA,NA
"446","Yes","Not selected","Not selected","Not selected",NA,"I am working in psychiatry field for already 8 years and I see that medicatons have many limitations, sideeffects and if the medication is the only treatment it is usually impossible for the patient to stop taking it. Here I mean patients with neurotic and depressive disorders. Especially pharmacoterapy is incapable in helping patients with personality disorders. I think that psychoanalytic psychotherapy has a very uniqe place in the treatment of personality disorders."
"447","Yes","Yes","Not selected","Not selected",NA,NA
"448","Yes","Not selected","Yes","Not selected",NA,"I try to say in latin: Medicus curat, natura sanat. ""Medicus""=psychiatry; ""Natura""=psychotherapy."
"449","Not selected","Not selected","Not selected","Not selected",NA,"There are serious lack of psychotherapy training in psychiatry curriculum. Although there are 4 months for it but it's like drop in the sea. We are only introduce with some basic statements about psychodynamic psychotherapy. If we want to learn psychotherapy we must to do it outside residency and pay for it by ourselves. I think that psychotherapy is extremely important in my clinical work in order to better understand and help patients."
"450","Not selected","Not selected","Not selected","Not selected",NA,NA
"451","Yes","Not selected","Not selected","Not selected","group psychotherapy","Psychiatry and psychotherapy are quite close. There are many situations when psychoterapeutic knowledge and practice is very important for a psychiatrist."
"452","Not selected","Not selected","Not selected","Not selected",NA,NA
"453","Not selected","Not selected","Not selected","Not selected",NA,NA
"454","Not selected","Not selected","Not selected","Not selected",NA,NA
"455","Not selected","Not selected","Not selected","Not selected",NA,NA
"456","Not selected","Not selected","Yes","Not selected",NA,NA
"457","Yes","Not selected","Not selected","Not selected",NA,"Psychotherapy helps to understand your patient much better: why this patient has these symptoms at this moment. It's not about reducing symptoms only, it's about teaching the patient new way (thinking or behaving) to cope the problems  himself. Sharing information with patient helps him understand himself better, and be more attentive to himself"
"458","Not selected","Not selected","Not selected","Not selected",NA,NA
"459","Not selected","Not selected","Not selected","Not selected",NA,NA
"460","Not selected","Not selected","Not selected","Not selected",NA,NA
"461","Not selected","Not selected","Not selected","Not selected",NA,NA
"462","Not selected","Yes","Not selected","Not selected",NA,NA
"463","Yes","Not selected","Not selected","Not selected",NA,"Being trained in CBT has changed my practice of psychiatry in the clinic and enriched me as a psychiatrist"
"464","Not selected","Not selected","Not selected","Not selected","Existential psychotherapy","I think that it is important to be exposed to different schools of therapy in the first few years of training and then choosing to focus on a specific modality that is most in sync with the trainees life view, preference and the modalityy which makes more personal sense to the trainee."
"465","Yes","Not selected","Not selected","Not selected","integrative",NA
"466","Yes","Not selected","Not selected","Not selected",NA,NA
"467","Yes","Not selected","Not selected","Not selected",NA,"Being skilled in psyhotherapy enables the delivery of more holistic care in my opinion and possibly allows the psychiatrist to entertain options other than psychopharmacological interventions. It is a particularly important tool with a diverae patient population ranging from the newly 'diagnosed'  patient who is unwilling to take medication to the patient with severe and treament resistant mental illness in whom further pharmacological intervention carries more adverse effects rather than benefits."
"468","Not selected","Not selected","Yes","Not selected",NA,"I belive that psychotherapy is very important to be a successful doctor, to treat patients correctly. The pharmacologycal treatment it's not enough to help a patient!"
"469","Yes","Yes","Not selected","Not selected",NA,NA
"470","Yes","Not selected","Not selected","Not selected",NA,"I think that any kind of psychotherapy would be very usefull for a psychiatrist, but especially psychoanalisys, which is the base, and cognitive-behavioural, at the very least. I don't think is ok that we don't do any kind of psychotherapy unless we independently choose to.  Also, I think it would be very useful a sort of personal analisys for every psychiatrists."
"471","Yes","Yes","Not selected","Not selected",NA,NA
"472","Yes","Not selected","Not selected","Not selected","transpersonal","I think psychotherapy is an important part of psychiatry - there are patients who can benefit more from this form of therapy rather than being 'stuffed' with medication. Through psychotherapy we can gain an insight into the patient's inner world, we can identify the root of their issues and help them achieve a state of well being."
"473","Not selected","Yes","Not selected","Not selected","Positive Psychotherapy","I personally think psychotherapy should be a part of and not distinguished from psychiatry. Apart from the neurophysiological and biochemical causes of mental illness(that we are thought during our residency training), we should learn also the psychological factors of these illnesses. It would help us understand what our job is, even if we don't want to work as a therapist. Also, in the majority of mental illness, I would like to see psychotherapy as part of the treatment, alone, or with medication, as supportive therapy. i sincerely would love to work in such an establishment, where therapy and psychiatry would go hand in hand, but unfortunately such a thing is not possible in my country."
"474","Not selected","Not selected","Not selected","Not selected",NA,NA
"475","Not selected","Not selected","Not selected","Not selected",NA,NA
"476","Not selected","Not selected","Yes","Not selected","hypnotherapy",NA
"477","Not selected","Not selected","Not selected","Not selected",NA,NA
"478","Yes","Yes","Not selected","Not selected",NA,"Psychotherapy is complementary and in same time indispensable to treat pschychiatric pacients."
"479","Not selected","Not selected","Yes","Not selected",NA,NA
"480","Not selected","Not selected","Not selected","Not selected",NA,NA
"481","Not selected","Not selected","Not selected","Not selected","art therapy","I'm interested especially in psychoanalytic psychotherapy and art therapy."
"482","Not selected","Not selected","Yes","Not selected","humanistic psychotherapies-Person centered therapy","Psychotherapy is not just a tool to work with our patients, but also an amazing method of personal development, essential to be able to create a harmonious relationship with the patient / our customer"
"483","Yes","Yes","Not selected","Not selected","Existential",NA
"484","Yes","Yes","Yes","Not selected",NA,NA
"485","Not selected","Not selected","Not selected","Not selected",NA,NA
"486","Yes","Not selected","Not selected","Not selected",NA,NA
"487","Not selected","Yes","Not selected","Not selected",NA,NA
"488","Yes","Not selected","Not selected","Not selected",NA,"cognitive behavioural therapy the most effective, evidence-based form of psychotherapy"
"489","Not selected","Yes","Yes","Not selected","Person-centered therapy","I didn't have the occasion to study all types of psychotherapy, but from what I read in books and from what I know about myself, I think that Person-centered therapy would be the best for me. I really hope to have the chance to study it."
"490","Yes","Yes","Not selected","Not selected",NA,NA
"491","Yes","Yes","Not selected","Not selected",NA,NA
"492","Yes","Yes","Yes","Not selected",NA,NA
"493","Not selected","Not selected","Not selected","Not selected",NA,NA
"494","Not selected","Not selected","Not selected","Not selected",NA,NA
"495","Yes","Not selected","Not selected","Not selected",NA,"It is validated and successful"
"496","Yes","Not selected","Not selected","Not selected",NA,NA
"497","Yes","Yes","Yes","Not selected",NA,NA
"498","Not selected","Not selected","Not selected","Not selected",NA,NA
"499","Not selected","Yes","Not selected","Not selected",NA,NA
"500","Not selected","Not selected","Not selected","Not selected",NA,NA
"501","Not selected","Not selected","Not selected","Not selected",NA,NA
"502","Yes","Yes","Not selected","Not selected",NA,NA
"503","Not selected","Yes","Not selected","Not selected",NA,NA
"504","Not selected","Not selected","Not selected","Not selected",NA,NA
"505","Not selected","Not selected","Not selected","Not selected","positive psychotherapy","I prefer positive psychotherapy because it involves multiple techniques applied in different types of therapy, which enables me to approach a large range of patients/clients and their problems"
"506","Not selected","Not selected","Not selected","Not selected",NA,NA
"507","Not selected","Not selected","Not selected","Not selected",NA,NA
"508","Not selected","Not selected","Yes","Not selected",NA,"I think psychotherapy helps me in establishing a therapeutic relationship (modalities to listen, to get closer to the patient's problem, to abordate the patient, to find resources in him and his family). Also, psychoterapy could help to keep the psychiatris's own mental hygiene."
"509","Not selected","Not selected","Not selected","Not selected","Orthodox Psychohterapy","This type of psychoterapy I choosed is based on the very strong relation between man (from origin)  and God, including here all the experience that has gathered in the history of orthodoxy.  I will like to subliniate the great importance of the Science of the Holy Fathers who understood the will of God and his Holy son, Jesus Christ.    For more details please check the writings on this subject of Hierotheos Vlachos, greak mitropolit of Nafpaktos"
"510","Yes","Not selected","Yes","Not selected",NA,NA
"511","Not selected","Yes","Not selected","Not selected",NA,NA
"512","Yes","Not selected","Not selected","Not selected",NA,NA
"513","Yes","Yes","Yes","Not selected",NA,NA
"514","Yes","Not selected","Yes","Not selected",NA,NA
"515","Yes","Yes","Yes","Not selected",NA,NA
"516","Not selected","Not selected","Not selected","Not selected",NA,NA
"517","Yes","Yes","Not selected","Not selected",NA,NA
"518","Yes","Yes","Not selected","Not selected",NA,NA
"519","Yes","Not selected","Yes","Not selected",NA,NA
"520","Yes","Not selected","Not selected","Not selected","Acceptance and Commitment Therapy",NA
"521","Not selected","Yes","Not selected","Not selected",NA,NA
"522","Not selected","Not selected","Not selected","Not selected",NA,NA
"523","Yes","Yes","Not selected","Not selected",NA,"Different patients require different types of psychotherapy. That's why it's important to know about multiple types so that the patient has been provided with the best care."
"524","Not selected","Yes","Not selected","Not selected",NA,NA
"525","Yes","Not selected","Not selected","Not selected",NA,NA
"526","Not selected","Not selected","Not selected","Not selected",NA,NA
"527","Yes","Yes","Not selected","Not selected",NA,"Is important because a lot of patients refuse the psychotrop medication and for the anxiety sisorder is important  to know CBT tehniques"
"528","Not selected","Not selected","Not selected","Not selected",NA,NA
"529","Not selected","Not selected","Not selected","Not selected","existential psychotherapy",NA
"530","Yes","Yes","Not selected","Not selected",NA,NA
"531","Not selected","Not selected","Not selected","Not selected",NA,NA
"532","Not selected","Not selected","Not selected","Not selected",NA,NA
"533","Not selected","Not selected","Yes","Not selected",NA,"It should be included in the residency training program, or at least to be obligate to do self-knowledge during the residency! It is essential in this profession, because you bring your whole personality, and you can`t help people if you have no self-awareness, more you can harm.... and if course it helps you to prevent burn-out and so on....and very important, it makes this profession more interesting, profound and beautiful...."
"534","Yes","Not selected","Not selected","Not selected",NA,NA
"535","Not selected","Yes","Not selected","Not selected",NA,NA
"536","Yes","Not selected","Not selected","Not selected",NA,NA
"537","Not selected","Not selected","Not selected","Not selected","existential psychotherapy","I believe psychotherapy to be an important side of patient care since an essential aspect of the process of healing in Psychiatry regards the self exploration a patient should at least begin to undertake. Getting to know oneself better, understanding the nature of personal feelings, reactions and symptoms and the mechanism underlying these experiences is the guarantee of stability and long-term functionality."
"538","Yes","Not selected","Not selected","Not selected",NA,NA
"539","Yes","Not selected","Not selected","Not selected",NA,NA
"540","Not selected","Not selected","Not selected","Not selected",NA,NA
"541","Yes","Not selected","Not selected","Not selected",NA,"I think that psychotherapy is essential for a psychiatrist's training, especially psychoanalisys, which is the baseline, and cognitive behavioural therapy for least.  I also think that a psychiatrist should benefit from some kind of personal analisys"
"542","Not selected","Not selected","Not selected","Not selected",NA,NA
"543","Yes","Not selected","Not selected","Not selected","Logoteraphy",NA
"544","Not selected","Not selected","Not selected","Not selected",NA,NA
"545","Yes","Not selected","Not selected","Not selected",NA,NA
"546","Yes","Not selected","Not selected","Not selected",NA,NA
"547","Yes","Not selected","Not selected","Not selected",NA,NA
"548","Not selected","Not selected","Not selected","Not selected",NA,NA
"549","Yes","Yes","Not selected","Not selected",NA,NA
"550","Yes","Not selected","Not selected","Not selected",NA,NA
"551","Yes","Yes","Not selected","Not selected","transactional","my choices are based on the accessibility to that kind of psychotherapy in my country,and i think those are most likely to succeed among the patients because for example the family therapy apply to all the family and  as psychiatrist help you improve your ways to approach your patient and the patient's relatives;cognitive behavioural therapy is also important because it help the patient to understand his condition ,accept it and try to learn ways to leave with it."
"552","Not selected","Not selected","Not selected","Not selected",NA,NA
"553","Yes","Not selected","Not selected","Not selected",NA,NA
"554","Yes","Yes","Yes","Not selected","positive psychotherapy",NA
"555","Yes","Yes","Yes","Not selected",NA,"It is known that several diseases can be cured using psychotherapy (PT), or PT is an adjucvant to medication."
"556","Not selected","Yes","Not selected","Not selected",NA,NA
"557","Not selected","Not selected","Not selected","Not selected","Transactional Analysys","I believe it is very important for a psychiatrist to have a terapeutical background in order to have better relations with his patients and better communication, to be aware of his own internal processes  and to be able to do a good management of his reactions."
"558","Yes","Yes","Not selected","Not selected",NA,NA
"559","Yes","Not selected","Not selected","Not selected",NA,NA
"560","Yes","Not selected","Not selected","Not selected",NA,NA
"561","Yes","Not selected","Not selected","Not selected",NA,NA
"562","Not selected","Not selected","Not selected","Not selected",NA,NA
"563","Not selected","Not selected","Not selected","Not selected",NA,NA
"564","Yes","Not selected","Yes","Not selected",NA,"I think that psychotherapy is an essential part of practicing psychiatry because it represents another important tool in managing our patient's problems in a field where therapeutic options are still limited. For this reason, a form of validated psychotherapy should be included, as an option, in the residency training programe. I believe that the treating physician could be the most appropiate person to deliver psychotherapy to a patient because there already is an established therapeutic alliance. In my opinion, if the doctor keeps in mind only the welfare of the patient there should be no conflict of interest. Cognitive behavioural therapy may be the best option for practical reasons: it is a short term therapy with scientifically proven results."
"565","Not selected","Not selected","Not selected","Not selected",NA,NA
"566","Yes","Yes","Yes","Not selected",NA,NA
"567","Yes","Yes","Not selected","Not selected",NA,NA
"568","Yes","Yes","Not selected","Not selected",NA,NA
"569","Yes","Yes","Not selected","Not selected",NA,NA
"570","Not selected","Yes","Yes","Not selected",NA,"it is important to figur out what are the defence mechanism of the patient,the personality of patient, the psychological reason of desease - the psychotrauma, who triggered the desease"
"571","Yes","Yes","Not selected","Not selected",NA,NA
"572","Not selected","Not selected","Not selected","Not selected",NA,NA
"573","Not selected","Yes","Not selected","Not selected",NA,"Psychotherapy is very important within our specialty, in everday work in hospital."
"574","Not selected","Not selected","Not selected","Not selected",NA,NA
"575","Not selected","Not selected","Not selected","Not selected",NA,NA
"576","Yes","Yes","Not selected","Not selected","Gestalt Therapy, Body-oriented Psychotherapy, Existential Psychotherapy",NA
"577","Not selected","Not selected","Not selected","Not selected",NA,NA
"578","Yes","Not selected","Not selected","Not selected",NA,NA
"579","Yes","Yes","Not selected","Not selected",NA,"is important for patients and families to change their thinking and behaviour"
"580","Yes","Yes","Not selected","Not selected",NA,"I think that for most of the pacients, psychotherapy combined with drug therapy is the best treatment."
"581","Not selected","Not selected","Not selected","Not selected",NA,NA
"582","Yes","Not selected","Not selected","Not selected",NA,NA
"583","Yes","Yes","Yes","Not selected","Person Centered Psychotherapy","it is helping me to understand better the patients, to be more empatic and to have an unconditional positive regard."
"584","Yes","Yes","Not selected","Not selected",NA,NA
"585","Not selected","Yes","Yes","Not selected",NA,"I am working in an addiction ward, hospital setting; group and family therapy help me a lot within postcure and prevention"
"586","Not selected","Not selected","Not selected","Not selected",NA,NA
"587","Not selected","Not selected","Not selected","Not selected",NA,NA
"588","Yes","Not selected","Not selected","Not selected",NA,"Cbt is a short therapy for acute crisis.  Psychodynamic is for long therm and profund analysis."
"589","Yes","Yes","Yes","Not selected",NA,NA
"590","Not selected","Not selected","Not selected","Not selected",NA,NA
"591","Not selected","Not selected","Not selected","Not selected",NA,NA
"592","Not selected","Yes","Not selected","Not selected",NA,NA
"593","Not selected","Not selected","Not selected","Not selected",NA,NA
"594","Yes","Yes","Yes","Not selected",NA,"My opinion is that traning in at least one or two modalitis (individual+group) of psychotherapy should be included in Psychiatric speciality training and a minimal work in that field should be continued through all the working period.   I just finished specialisation and I miss that part very much. I intend to work on it as soon as I can aford it. I think it is the right (probably the only)future of the feald of psychiatry."
"595","Yes","Not selected","Yes","Not selected",NA,"I believe psychotherapy should be an integral part of psychiatry residency as it is very useful when workinh with patients. If one does not wish to practice it himself general knowledge of most used modalities is very helpfull when a patient needs/ wants to be directed to a psychoterapist."
"596","Not selected","Not selected","Yes","Not selected",NA,NA
"597","Yes","Yes","Not selected","Not selected",NA,NA
"598","Yes","Not selected","Not selected","Not selected",NA,"I think Psychotherapy should be an important part of psychiatric training, and I am very disappointed that in our country psychotherapy is not supported by our healthcare system and as such also a part of our psychiatric training."
"599","Not selected","Yes","Yes","Not selected","existential psychotherapy","I think every psychiatrist should at least go through personal psychotherapy if not psychotherapeutic training."
